PRODUTO;DESCRIPTION
AWS CodeDeploy;O AWS CodeDeploy é um serviço de implantação automatizada fornecido pela Amazon Web Services (AWS). Ele facilita a implantação de aplicativos em instâncias de computação, como Amazon EC2, servidores locais ou serviços de contêiner, de forma rápida e confiável.
AWS CodePipeline;O AWS CodePipeline é um serviço de automação de entrega contínua oferecido pela Amazon Web Services (AWS). Ele permite que você automatize o processo de compilação, teste e implantação de seu código de forma rápida e confiável. Com o CodePipeline, você pode criar pipelines de entrega contínua que ajudam a acelerar o ciclo de desenvolvimento de software, garantindo a qualidade do código e facilitando a implantação de novas versões de suas aplicações de forma automatizada. O CodePipeline suporta integração com várias ferramentas de desenvolvimento e infraestrutura, permitindo uma integração contínua e implantação automatizada em ambientes como AWS Elastic Beanstalk, Amazon ECS, AWS Lambda, entre outros. É uma ferramenta poderosa para equipes de desenvolvimento que buscam melhorar a eficiência e a confiabilidade de seus processos de entrega de software.
AWS Data Exchange;O AWS Data Exchange é um serviço da Amazon Web Services (AWS) que facilita a troca segura de dados entre fornecedores de dados e consumidores. Ele permite que os fornecedores de dados publiquem conjuntos de dados prontos para uso, que podem ser facilmente acessados e integrados por organizações que desejam utilizá-los para análises, machine learning, entre outros fins.
AWS Database Migration Service;O AWS Database Migration Service é um serviço da Amazon Web Services (AWS) que facilita a migração de bancos de dados para a nuvem. Ele permite que você migre bancos de dados existentes para a AWS de forma rápida e segura, com mínimo tempo de inatividade. O serviço suporta a migração de diversos tipos de bancos de dados, como MySQL, PostgreSQL, Oracle, SQL Server e outros.
AWS DataSync;O AWS DataSync é um serviço de transferência de dados que facilita a automação da movimentação de grandes volumes de dados entre sistemas de armazenamento on-premises e serviços de armazenamento da AWS. 
AWS Directory Service;O AWS Directory Service é um serviço de diretório gerenciado que facilita a implantação e a integração de diretórios corporativos na nuvem da Amazon Web Services (AWS). Ele oferece suporte a diferentes tipos de diretórios, como o Microsoft Active Directory, o AD Connector e o Simple AD, permitindo que você escolha a opção mais adequada para as necessidades da sua organização.
AWS EBS;O Amazon Elastic Block Store (EBS) é um serviço de armazenamento de blocos de alta performance oferecido pela Amazon Web Services (AWS). Ele fornece armazenamento persistente para instâncias de EC2 na nuvem da AWS. O EBS é altamente disponível e confiável, permitindo que você armazene dados de forma durável e escalável.
AWS ECS;O Amazon Elastic Container Service (ECS) é um serviço de orquestração de contêineres altamente escalável e gerenciado pela AWS. Ele permite que você execute, pare e gerencie facilmente contêineres Docker em um ambiente altamente disponível e seguro. Com o ECS, você pode implantar e escalar aplicativos baseados em contêineres de forma eficiente, sem se preocupar com a infraestrutura subjacente. Ele também oferece integração com outros serviços da AWS, como o Amazon EC2, o Amazon ECR e o AWS Fargate, para facilitar a implantação e o gerenciamento de contêineres em escala.
AWS EMR;AWS EMR (Elastic MapReduce) é um serviço gerenciado de big data da Amazon Web Services que facilita o processamento e a análise de grandes volumes de dados usando frameworks populares como Apache Hadoop, Apache Spark, Apache HBase, Apache Flink, e Presto. 
AWS Glue;O AWS Glue é um serviço de ETL (Extração, Transformação e Carga) totalmente gerenciado pela Amazon Web Services (AWS). Ele é projetado para facilitar a preparação e carregamento de grandes volumes de dados para análise e processamento posterior. O AWS Glue oferece recursos de catalogação de dados, transformação de dados e execução de trabalhos de ETL de forma escalável e eficiente.
AWS Identity and Access Management (IAM);O AWS Identity and Access Management (IAM) é um serviço de gerenciamento de identidade e acesso na nuvem oferecido pela Amazon Web Services (AWS). Com o IAM, você pode controlar de forma segura o acesso aos recursos da AWS para seus usuários e aplicativos. Ele permite que você defina permissões granulares para diferentes usuários, grupos e papéis, garantindo que apenas as pessoas autorizadas tenham acesso aos recursos necessários.
AWS KMS (Key Management Service);O AWS Key Management Service (KMS) é um serviço de gerenciamento de chaves que facilita a criação e o controle de chaves de criptografia para proteger os dados e recursos na nuvem da AWS. Com o AWS KMS, você pode criar, importar, rotacionar e gerenciar chaves de criptografia para proteger seus dados de forma segura.
AWS Lake Formation;AWS Lake Formation é um serviço gerenciado da Amazon Web Services que facilita a criação, o gerenciamento e a segurança de data lakes. Um data lake é um repositório centralizado que pemite armazenar e analisar grandes volumes de dados em seus formatos nativos ou transformados.
AWS Migration Hub;O AWS Migration Hub é um serviço da Amazon Web Services (AWS) que ajuda as empresas a migrar suas cargas de trabalho para a nuvem de forma mais eficiente. Ele fornece uma maneira centralizada de rastrear e gerenciar várias migrações de aplicativos, permitindo que as equipes de TI monitorem o progresso, identifiquem problemas e tomem medidas corretivas conforme necessário. O AWS Migration Hub também oferece insights e recomendações para otimizar o processo de migração, ajudando as organizações a minimizar o tempo de inatividade e os custos associados à migração para a nuvem. Em resumo, o AWS Migration Hub é uma ferramenta valiosa para simplificar e acelerar o processo de migração de cargas de trabalho para a AWS.
AWS MySQL;O AWS MySQL é um serviço de banco de dados relacional oferecido pela Amazon Web Services (AWS) que utiliza a popular tecnologia de banco de dados MySQL. Ele fornece uma infraestrutura escalável e gerenciada para armazenar e gerenciar seus dados de forma segura na nuvem. Com o AWS MySQL, você pode se beneficiar de recursos como alta disponibilidade, backup automatizado, monitoramento de desempenho e escalabilidade sob demanda. Isso permite que você se concentre em desenvolver seus aplicativos, enquanto a AWS cuida da infraestrutura de banco de dados.
AWS Network Firewall;O AWS Network Firewall é um serviço de firewall gerenciado que fornece proteção avançada para suas cargas de trabalho na nuvem. Ele ajuda a proteger sua rede contra ameaças, como ataques DDoS, malware e tentativas de intrusão. Com o AWS Network Firewall, você pode criar regras de firewall personalizadas, monitorar o tráfego de rede em tempo real e responder rapidamente a possíveis ameaças.
AWS Organizations;AWS Organizations é um serviço da Amazon Web Services (AWS) que permite gerenciar e consolidar várias contas da AWS de maneira centralizada. Ele oferece ferramentas para simplificar a administração de políticas, faturamento e governança em ambientes multi-conta. 
AWS PostgreSQL;O Amazon Web Services (AWS) oferece um serviço de banco de dados relacional PostgreSQL totalmente gerenciado, chamado Amazon RDS for PostgreSQL. Com o Amazon RDS for PostgreSQL, você pode configurar, operar e escalar facilmente instâncias de banco de dados PostgreSQL na nuvem da AWS. Este serviço gerenciado cuida de tarefas como provisionamento de hardware, aplicação de patches, backups automatizados e monitoramento, permitindo que você se concentre em desenvolver suas aplicações sem se preocupar com a infraestrutura de banco de dados.
AWS PostgreSQL;O Amazon Web Services (AWS) oferece um serviço de banco de dados relacional PostgreSQL totalmente gerenciado, chamado Amazon RDS for PostgreSQL. Com o Amazon RDS for PostgreSQL, você pode configurar, operar e escalar facilmente instâncias de banco de dados PostgreSQL na nuvem da AWS. Este serviço gerenciado cuida de tarefas como provisionamento de hardware, aplicação de patches, backups automatizados e monitoramento, permitindo que você se concentre em desenvolver suas aplicações sem se preocupar com a infraestrutura de banco de dados.
AWS PrivateLink;O AWS PrivateLink é um serviço que permite que você acesse serviços hospedados na Amazon Web Services (AWS) de forma privada, sem a necessidade de expor sua carga de trabalho à internet pública. Com o AWS PrivateLink, você pode acessar serviços como Amazon S3, Amazon EC2 e Amazon RDS de forma segura e privada, mantendo seus dados protegidos e reduzindo a exposição a possíveis ameaças de segurança. Isso é especialmente útil para empresas que precisam manter a segurança e a conformidade de seus dados, garantindo que apenas usuários autorizados tenham acesso aos serviços hospedados na AWS.
AWS Resource Manager;O AWS Resource Manager, especificamente referido como AWS CloudFormation, é um serviço da Amazon Web Services (AWS) que permite modelar, provisionar e gerenciar recursos de infraestrutura da AWS de maneira segura, previsível e repetível. 
AWS Secrets Manager;O AWS Secrets Manager é um serviço da Amazon Web Services (AWS) que ajuda a proteger informações confidenciais, como senhas, chaves de API e tokens de acesso, armazenando-os de forma segura. Ele permite que você armazene, recupere e gerencie facilmente esses segredos de forma centralizada, facilitando a rotação automática de senhas e o controle de acesso granular. Com o AWS Secrets Manager, você pode integrar facilmente segredos em suas aplicações e serviços, garantindo a segurança dos dados confidenciais da sua organização.
AWS Security Hub;O AWS Security Hub é um serviço de segurança e conformidade da Amazon Web Services (AWS) que oferece uma visão abrangente da postura de segurança da sua conta da AWS. Ele centraliza e automatiza a análise de segurança de várias fontes, como Amazon GuardDuty, AWS Inspector e AWS Macie, fornecendo insights acionáveis para ajudar a identificar e remediar possíveis vulnerabilidades e ameaças de segurança. O AWS Security Hub também permite que você monitore continuamente o status de conformidade com padrões de segurança e regulamentações, como o PCI DSS e o GDPR. Com o AWS Security Hub, você pode melhorar a segurança da sua infraestrutura na nuvem e garantir que suas cargas de trabalho estejam protegidas contra ameaças cibernéticas.
AWS Snowball Edge;O AWS Snowball Edge é um dispositivo de transferência de dados e computação robusto e portátil oferecido pela Amazon Web Services (AWS). Ele foi projetado para mover grandes volumes de dados de e para a nuvem AWS de maneira eficiente, segura e econômica, além de fornecer capacidades de computação no local. 
AWS Step Functions;AWS Step Functions é um serviço da Amazon Web Services (AWS) que permite orquestrar e automatizar fluxos de trabalho usando uma abordagem de máquina de estados. Ele facilita a coordenação de múltiplos serviços AWS em sequências de tarefas, criando fluxos de trabalho complexos e robustos para aplicações distribuídas. 
AWS Storage Gateway;O AWS Storage Gateway é um serviço de armazenamento em nuvem que permite integrar de forma fácil e segura a infraestrutura de armazenamento local com a nuvem da Amazon Web Services (AWS). Ele oferece uma solução híbrida que permite armazenar dados localmente em cache e sincronizá-los com a nuvem, proporcionando maior escalabilidade, durabilidade e disponibilidade dos dados.
AWS Transit Gateway;O AWS Transit Gateway é um serviço de rede que simplifica a conectividade entre redes virtuais (VPCs) e redes locais em uma infraestrutura de nuvem da AWS. Ele atua como um hub centralizado que permite a comunicação entre várias redes, simplificando a arquitetura de rede e reduzindo a complexidade operacional.
AWS VPN;A AWS VPN (Virtual Private Network) é um serviço que permite a criação de uma conexão segura entre redes locais e a nuvem AWS. Utilizando túneis criptografados sobre a Internet ou uma conexão AWS Direct Connect, a AWS VPN possibilita a comunicação segura entre a infraestrutura on-premises de um cliente e os recursos hospedados na nuvem AWS.
AWS Web Application Firewall;O AWS Web Application Firewall (WAF) é um serviço de segurança gerenciado que protege suas aplicações web contra ameaças e vulnerabilidades comuns na web. Ele permite que você crie regras de segurança personalizadas para filtrar tráfego malicioso e proteger suas aplicações contra ataques como injeções SQL, scripts entre sites (XSS), e outras explorações de vulnerabilidades comuns
AWS X-Ray;O AWS X-Ray é um serviço de rastreamento e análise de desempenho da Amazon Web Services (AWS) que ajuda os desenvolvedores a entender e otimizar o desempenho de suas aplicações distribuídas. Com o AWS X-Ray, é possível visualizar a arquitetura de uma aplicação, identificar gargalos de desempenho, analisar a latência de chamadas entre os componentes da aplicação e solucionar problemas de forma mais eficiente. Ele fornece insights valiosos para melhorar a experiência do usuário e a eficiência operacional das aplicações na nuvem.
Basic On-Site Services;O produto de nuvem Basic On-Site Services é uma solução que oferece serviços básicos de computação em nuvem diretamente nas instalações do cliente. Isso significa que a infraestrutura de nuvem é implantada e gerenciada localmente, proporcionando maior controle e segurança sobre os dados e aplicativos.
Big Data Service;Big Data Service é uma plataforma gerenciada que facilita o processamento e a análise de grandes volumes de dados. Este serviço geralmente inclui um conjunto de ferramentas e tecnologias que permitem a coleta, armazenamento, processamento e análise de dados em grande escala
CBH;Cloud Bastion Host (CBH) é um serviço que fornece um ponto de acesso seguro para gerenciar servidores e recursos em nuvens públicas e privadas. Ele atua como um gateway seguro, permitindo que administradores acessem e gerenciem instâncias de servidores sem expor diretamente os servidores à Internet. 
CBR;O produto de nuvem CBR, ou Cloud Business Rules, é uma solução que permite às empresas gerenciar e automatizar regras de negócios de forma eficiente na nuvem. Com o CBR, as organizações podem definir, implementar e atualizar facilmente regras de negócios em seus aplicativos e processos de negócios, sem a necessidade de intervenção manual constante. Isso ajuda a melhorar a agilidade, a precisão e a consistência das operações, além de facilitar a conformidade com regulamentações e padrões do setor. Em resumo, o produto de nuvem CBR é uma ferramenta poderosa para otimizar a gestão de regras de negócios em ambientes de nuvem.
CCE;Huawei Cloud Container Engine (CCE) é um serviço gerenciado de Kubernetes que facilita a implantação, gerenciamento e escalabilidade de aplicativos em contêineres. Ele oferece uma plataforma robusta e flexível para executar cargas de trabalho em contêineres na nuvem, aproveitando a eficiência e a agilidade do Kubernetes.
CGS;Cloud Guard Service (CGS) é um serviço de segurança gerenciado que oferece monitoramento contínuo e proteção contra ameaças para os recursos de nuvem. Ele ajuda a garantir que os recursos e dados na nuvem estejam seguros contra ataques cibernéticos e conformes com as políticas de segurança
Cloud Eye;Cloud Eye é um serviço de monitoramento e gerenciamento de performance para recursos de nuvem. Ele fornece visibilidade em tempo real sobre o desempenho e a saúde dos recursos, permitindo que os administradores de TI detectem e resolvam problemas rapidamente.
Cloud Eye + AOM;O Cloud Eye + AOM é um produto de nuvem que combina a tecnologia de monitoramento de vídeo baseada em inteligência artificial (AI) com a análise de operações de segurança (AOM). Ele oferece uma solução abrangente para a segurança de vídeo em nuvem, permitindo a detecção automática de eventos suspeitos, como intrusões, movimentos não autorizados e comportamentos anômalos. Com o Cloud Eye + AOM, as empresas podem monitorar e proteger suas instalações de forma eficaz, garantindo a segurança dos seus ativos e funcionários. Além disso, a integração com a nuvem permite o acesso remoto aos vídeos em tempo real, facilitando a gestão da segurança de qualquer lugar.
Cloud Service Engineer Training;O treinamento de Engenheiro de Serviços em Nuvem é um programa educacional projetado para capacitar profissionais a projetar, implementar e gerenciar serviços em nuvem de forma eficaz. Este curso abrange uma variedade de tópicos, incluindo arquitetura de nuvem, segurança, automação, escalabilidade e muito mais. Os participantes aprenderão as melhores práticas e habilidades necessárias para ter sucesso nesse campo em constante evolução. Este treinamento é ideal para profissionais de TI que desejam aprimorar suas habilidades em computação em nuvem e se tornar especialistas em engenharia de serviços em nuvem.
CloudTrail;AWS CloudTrail é um serviço que permite o registro, a monitoração contínua e a retenção de eventos de atividades relacionadas à API em sua conta da AWS. Ele oferece maior visibilidade sobre as ações dos usuários e atividades dos recursos na AWS, ajudando a garantir a conformidade e a segurança
CloudWatch;AWS CloudWatch é um serviço de monitoramento e observabilidade para os recursos da AWS e as aplicações executadas na AWS. Ele coleta e rastreia métricas, coleta e monitora arquivos de log e define alarmes, ajudando a obter insights sobre o estado e a performance dos seus recursos e aplicações
CodeArts Enterprise;O produto de nuvem CodeArts Enterprise é uma solução avançada de gerenciamento e desenvolvimento de software em nuvem. Ele oferece uma plataforma robusta para equipes de desenvolvimento colaborarem, criarem e implantarem aplicativos de forma eficiente e escalável. Com recursos como integração contínua, entrega contínua, monitoramento e análise de desempenho, o CodeArts Enterprise ajuda as empresas a acelerar o ciclo de desenvolvimento de software e melhorar a qualidade de seus produtos. Além disso, a plataforma é altamente personalizável e pode ser adaptada às necessidades específicas de cada organização.
Database Management-Autonomous Databases-ECPU;Database Management - Autonomous Databases - ECPU é um serviço que oferece gerenciamento automatizado e otimização de recursos para bancos de dados autônomos utilizando unidades de CPU elásticas (ECPU). Este serviço permite que as organizações tirem proveito de bancos de dados autônomos que se ajustam automaticamente às necessidades de desempenho e capacidade
Database Management-Cloud Databases;Database Management - Cloud Databases é um serviço que facilita o gerenciamento e a operação de bancos de dados hospedados na nuvem. Este serviço oferece uma interface unificada para monitorar, gerenciar e otimizar bancos de dados em ambientes de nuvem, garantindo desempenho, segurança e disponibilidade
Database Management-External DB;Database Management - External DB é um serviço que permite o gerenciamento de bancos de dados externos, ou seja, aqueles que não estão hospedados na nuvem do provedor do serviço. Este serviço oferece ferramentas para monitorar, gerenciar e otimizar bancos de dados que residem em data centers locais ou em outras nuvens públicas
Database Management-External DB BYOL;O produto de nuvem Database Management-External DB BYOL é uma solução que permite aos usuários trazer sua própria licença (BYOL - Bring Your Own License) para gerenciar bancos de dados externos na nuvem. Com essa opção, os usuários podem utilizar suas licenças existentes de software de gerenciamento de banco de dados para implementar e gerenciar seus bancos de dados na nuvem de forma eficiente e econômica. Isso proporciona flexibilidade e controle sobre o ambiente de banco de dados, ao mesmo tempo em que aproveita os benefícios da nuvem para escalabilidade, desempenho e segurança.
DNS;DNS (Domain Name System) é um serviço essencial na infraestrutura da internet que traduz nomes de domínio legíveis por humanos (como www.exemplo.com) em endereços IP numéricos (como 192.0.2.1) que os computadores utilizam para se comunicar entre si. O DNS funciona como uma agenda telefônica da internet, permitindo que os usuários acessem websites e outros recursos da internet de maneira fácil e eficiente.
EC2;Amazon EC2 (Elastic Compute Cloud) é um serviço de computação na nuvem que fornece capacidade de computação escalável na AWS. Ele permite que os usuários iniciem e gerenciem instâncias de servidores virtuais, chamados de instâncias EC2, com a capacidade de ajustar recursos de acordo com a demanda.
EC2 - GPU;Amazon EC2 - GPU (Graphics Processing Unit) são instâncias especializadas da EC2 que incluem unidades de processamento gráfico (GPUs). Essas instâncias são projetadas para cargas de trabalho que requerem grande capacidade de processamento paralelo, como aprendizado de máquina, renderização de gráficos 3D, simulações científicas e processamento de vídeo.
ECR;O Amazon Elastic Container Registry (ECR) é um serviço de registro de contêineres totalmente gerenciado que facilita o armazenamento, gerenciamento e implantação de imagens de contêineres Docker. Com o ECR, você pode armazenar, compartilhar e gerenciar imagens de contêineres de forma segura e escalável. Ele integra-se perfeitamente com outros serviços da AWS, como o Amazon ECS (Elastic Container Service) e o Amazon EKS (Elastic Kubernetes Service), facilitando a implantação de aplicativos em contêineres na nuvem. O ECR oferece segurança, escalabilidade e confiabilidade para suas necessidades de contêineres na nuvem.
ECS Tipo C;ECS Tipo C (Elastic Cloud Server Type C) é uma instância de computação otimizada para computação intensiva, oferecida pela Huawei Cloud. Esse tipo de instância é projetado para fornecer alta performance de CPU para cargas de trabalho que exigem poder de processamento significativo.
ECS Tipo S;ECS Tipo S (Elastic Cloud Server Type S) é uma instância de computação otimizada para armazenamento, oferecida pela Huawei Cloud. Este tipo de instância é ideal para aplicativos que necessitam de alta capacidade de armazenamento e alta taxa de IOPS (operações de entrada/saída por segundo).
EIP;EIP (Elastic IP) é um serviço de endereços IP públicos fornecido pela Huawei Cloud que permite que instâncias de nuvem, como ECS, se comuniquem com a Internet. EIPs são endereços IP estáticos que podem ser associados ou desassociados dinamicamente de instâncias, proporcionando flexibilidade e controle sobre a conectividade de rede.
EIP Traffic Monitoring;O produto de nuvem EIP Traffic Monitoring é uma ferramenta que permite monitorar o tráfego de rede de Elastic IP (EIP) em ambientes de nuvem. Com essa solução, você pode acompanhar e analisar o tráfego de entrada e saída associado aos seus endereços IP elásticos, identificar padrões de uso, detectar possíveis problemas de desempenho e segurança, e tomar medidas proativas para otimizar a utilização dos recursos de rede na nuvem. Essa ferramenta é útil para empresas que desejam ter maior visibilidade e controle sobre o tráfego de rede em seus ambientes de nuvem, garantindo a eficiência e segurança das operações.
EKS;Amazon EKS (Elastic Kubernetes Service) é um serviço gerenciado que facilita a execução de Kubernetes na AWS. Ele permite implantar, gerenciar e escalar aplicações containerizadas usando Kubernetes, sem precisar instalar e operar o próprio plano de controle do Kubernetes.
ELB;Elastic Load Balancing (ELB) é um serviço da AWS que distribui automaticamente o tráfego de entrada de aplicações através de múltiplas instâncias de destino, como EC2, containers e endereços IP. O ELB oferece três tipos de balanceadores de carga: Application Load Balancer, Network Load Balancer e Classic Load Balancer
Essbase for Oracle Cloud Infrastructure;Essbase for Oracle Cloud Infrastructure é uma plataforma de análise multidimensional e processamento analítico online (OLAP) baseada na nuvem, projetada para ajudar as empresas a realizar análises complexas e obter insights acionáveis a partir de grandes volumes de dados.
EVS;O produto de nuvem EVS, ou Elastic Volume Service, é uma solução de armazenamento em nuvem oferecida por alguns provedores de serviços em nuvem. Ele permite que os usuários criem e gerenciem volumes de armazenamento de forma flexível e escalável, de acordo com suas necessidades. Com o EVS, os usuários podem aumentar ou diminuir o tamanho dos volumes de armazenamento, bem como ajustar o desempenho conforme necessário. Isso proporciona maior agilidade e eficiência na gestão de dados em ambientes de nuvem.
Exadata Cloud Infrastructure-Database Server- X9M;Exadata Cloud Infrastructure - Database Server - X9M é um componente do Oracle Exadata Cloud Service, especificamente projetado para oferecer desempenho extremo e alta disponibilidade para cargas de trabalho de banco de dados. O X9M é a versão mais recente desta infraestrutura, oferecendo recursos avançados e otimizações significativas para ambientes de banco de dados críticos
Exadata Cloud Infrastructure-Quarter Rack-X9M;Exadata Cloud Infrastructure - Quarter Rack - X9M é uma configuração específica do Oracle Exadata Cloud Service que fornece uma fração da capacidade total do sistema Exadata. O Quarter Rack é ideal para organizações que precisam de um desempenho robusto de banco de dados, mas em uma escala menor que um rack completo
Exadata Cloud Infrastructure-Storage Server-X9M;Exadata Cloud Infrastructure - Storage Server - X9M é um componente do Oracle Exadata Cloud Service focado em fornecer armazenamento otimizado e de alta performance para bancos de dados Oracle. Os Storage Servers X9M são projetados para trabalhar em conjunto com os Database Servers, oferecendo I/O extremamente rápido e confiável
Exadata Database OCPU-Dedicated Infrastructure;O produto de nuvem Exadata Database OCPU-Dedicated Infrastructure é uma solução oferecida pela Oracle que fornece uma infraestrutura dedicada de unidades de processamento central (OCPU) para hospedar bancos de dados Exadata na nuvem. Isso significa que os recursos de computação são alocados exclusivamente para o seu ambiente de banco de dados, garantindo desempenho consistente e previsível.
;
;Essa abordagem de infraestrutura dedicada é ideal para cargas de trabalho críticas que exigem alta disponibilidade, segurança e desempenho otimizado. Com o Exadata Database OCPU-Dedicated Infrastructure, você pode contar com a expertise da Oracle em gerenciamento de banco de dados e aproveitar os benefícios da nuvem para escalar e gerenciar seu ambiente de banco de dados de forma eficiente.
Exadata Database OCPU-Dedicated Infrastructure-BYOL;Serviço de OCPU dedicado para infraestrutura Exadata Database, utilizando suas próprias licenças (BYOL), oferecendo desempenho otimizado para cargas de trabalho de banco de dados intensivas.
Gateway Load Balancer;Gateway Load Balancer é um serviço que facilita a distribuição de tráfego de rede entre vários servidores, melhorando a disponibilidade e a escalabilidade das aplicações.
Huawei Auto Scaling;Huawei Auto Scaling é um serviço que ajusta automaticamente a capacidade de recursos de computação com base na demanda, garantindo que as aplicações mantenham desempenho ideal e eficiência de custos.
Huawei KMS;O Huawei Key Management Service (KMS) é um serviço de gerenciamento de chaves de criptografia baseado em nuvem oferecido pela Huawei. Ele fornece recursos de gerenciamento de chaves seguros e eficientes para proteger dados confidenciais e garantir a segurança das informações armazenadas na nuvem. O Huawei KMS ajuda as organizações a gerenciar e proteger suas chaves de criptografia de forma centralizada, garantindo a conformidade com regulamentações de segurança e privacidade de dados. Com o Huawei KMS, as empresas podem proteger seus dados sensíveis e garantir a integridade e confidencialidade das informações armazenadas na nuvem.
Huawei MySQL ;Huawei MySQL é um serviço de banco de dados relacional gerenciado baseado no MySQL, fornecendo alta disponibilidade, segurança e escalabilidade.
Huawei PostgreSQL;Huawei PostgreSQL é um serviço de banco de dados relacional gerenciado baseado no PostgreSQL, oferecendo suporte para diversas extensões e conformidade com ACID.
Huawei WAF;Huawei Web Application Firewall (WAF) é um serviço de segurança que protege aplicações web contra ameaças comuns, como injeções SQL e ataques XSS.
IAM;Identity and Access Management (IAM) é um serviço que permite gerenciar usuários e permissões de acesso a recursos na nuvem de forma segura e centralizada.
IMS;Information Management System (IMS) é um serviço que facilita o gerenciamento e a integração de dados e informações dentro de uma organização.
Java Cloud Service-Enterprise-BYOL;Java Cloud Service-Enterprise-BYOL é um serviço de plataforma como serviço (PaaS) para implantar e gerenciar aplicações Java empresariais na nuvem, utilizando suas próprias licenças Oracle.
Java Cloud Service-High Performance;Java Cloud Service-High Performance é uma versão otimizada do Java Cloud Service para aplicações que exigem alto desempenho e baixa latência.
Java Cloud Service-High Performance- BYOL;O Oracle Java Cloud Service - High Performance - BYOL (Bring Your Own License) é uma solução de nuvem que permite aos desenvolvedores implantar e gerenciar aplicativos Java empresariais de alto desempenho na nuvem. Com essa opção BYOL, os clientes podem usar suas próprias licenças do Oracle Java SE para implantar e executar aplicativos Java na nuvem, o que pode resultar em economias significativas de custos.
Java Cloud Service-Standard-BYOL;Um serviço que permite que as empresas implantem e gerenciem aplicativos Java na nuvem, utilizando suas próprias licenças Oracle Java.
Language-Custom Inferencing;Serviço para criação de modelos de inferência personalizados baseados em linguagem natural.
Language-Custom Inferencing-Dedicated;Serviço dedicado para criação de modelos de inferência personalizados baseados em linguagem natural.
Language-Custom Training;Serviço para treinamento de modelos personalizados de linguagem natural.
Language-Text Translation;Serviço de tradução de texto baseado em inteligência artificial.
Logging Analytics- Active Storage;Armazenamento ativo para análise de logs, permitindo a coleta e consulta de dados de log.
MySQL Database for HeatWave-Bare Metal Standard;Serviço de banco de dados MySQL otimizado para análise em tempo real usando HeatWave em uma configuração bare metal.
MySQL Database for HeatWave-Standard;Serviço de banco de dados MySQL otimizado para análise em tempo real usando HeatWave.
MySQL Database-Backup Storage;Serviço de armazenamento de backup para banco de dados MySQL.
MySQL Database-ECPU;Serviço de unidade central de processamento elástica para banco de dados MySQL.
MySQL Database-Standard-Intel X9-Compute;Serviço de banco de dados MySQL padrão otimizado para computação usando Intel X9.
MySQL Database-Standard-Intel X9-Memory;Serviço de banco de dados MySQL padrão otimizado para memória usando Intel X9.
MySQL Database-Storage;Serviço de armazenamento para banco de dados MySQL.
MySQL HeatWave-Standard;Serviço de banco de dados MySQL otimizado para análise em tempo real usando HeatWave.
Nat Gateway;Um serviço gerenciado que permite conectar instâncias em uma VPC a serviços da AWS ou on-premises através da Internet.
Network Load Balancer;Um balanceador de carga que distribui tráfego de rede ou aplicativo entre várias instâncias de destino.
OBS;Serviço de armazenamento de objetos da Huawei, similar ao Amazon S3.
Ops Insights for Cloud Databases;Serviço para análise de operações em bancos de dados em nuvem Oracle.
Ops Insights for External Oracle Databases and Host;Serviço para análise de operações em bancos de dados Oracle externos e hosts.
Ops Insights for Oracle Autonomous Databases-Basic;Serviço básico de insights operacionais para bancos de dados autônomos da Oracle.
Ops Insights for Oracle Autonomous Databases-Full;Serviço completo de insights operacionais para bancos de dados autônomos da Oracle.
Ops Insights for Warehouse-Extract;Serviço de extração de insights operacionais para data warehouses.
Ops Insights for Warehouse-Instance;Serviço de instância de insights operacionais para data warehouses.
Oracle Analytics Cloud-Enterprise;Serviço de análise de dados na nuvem para empresas.
Oracle Analytics Cloud-Enterprise-BYOL;Serviço de análise de dados na nuvem para empresas, utilizando suas próprias licenças.
Oracle Analytics Cloud-Professional;Serviço de análise de dados na nuvem para profissionais.
Oracle Analytics Cloud-Professional-BYOL;Serviço de análise de dados na nuvem para profissionais, utilizando suas próprias licenças.
Oracle Analytics Server for Oracle Cloud Infrastructure;Servidor de análise para infraestrutura de nuvem Oracle.
Oracle Analytics-Enterprise;Serviço de análise de dados para empresas.
Oracle Analytics-Professional;Serviço de análise de dados para profissionais.
Oracle APEX Application Development;Serviço para desenvolvimento de aplicações usando Oracle APEX na nuvem.
Oracle Autonomous Data Warehouse-Dedicated;Serviço de data warehouse autônomo dedicado na nuvem Oracle.
Oracle Autonomous Data Warehouse-Dedicated- BYOL;Serviço de data warehouse autônomo dedicado na nuvem Oracle, utilizando suas próprias licenças.
Oracle Autonomous Data Warehouse-Dedicated- ECPU;Serviço de data warehouse autônomo dedicado na nuvem Oracle, cobrando por unidade central de processamento elástica.
Oracle Autonomous Data Warehouse-Dedicated- ECPU-BYOL;Serviço de data warehouse autônomo dedicado na nuvem Oracle, cobrando por unidade central de processamento elástica e utilizando suas próprias licenças.
Oracle Autonomous Data Warehouse-ECPU;Serviço de data warehouse autônomo na nuvem Oracle, cobrando por unidade central de processamento elástica.
Oracle Autonomous Data Warehouse-ECPU- BYOL;Serviço de data warehouse autônomo na nuvem Oracle, cobrando por unidade central de processamento elástica e utilizando suas próprias licenças.
Oracle Autonomous Database Storage;Serviço de armazenamento autônomo para banco de dados Oracle.
Oracle Autonomous Database Storage for Transaction Processing;Serviço de armazenamento autônomo para processamento de transações em banco de dados Oracle.
Oracle Autonomous JSON Database;Serviço autônomo de banco de dados JSON na nuvem Oracle.
